order,orig_org_id,db_org_id,diff,base_org_id,suffix,diff2,db_org_id,db_sup_org_id
53,1-1-CAVSQDN,1-1-CAVSQDN,-,1-1-CAVSQDN,AVNBDE.1-AD.ARMY.MIL,-,1-1-CAVSQDN,AVNBDE-1-AD
54,1-501-AVNBN,1-501-AVNBN,-,1-501-AVNBN,AVNBDE.1-AD.ARMY.MIL,-,1-501-AVNBN,AVNBDE-1-AD
55,2-501-AVNBN,2-501-AVNBN,-,2-501-AVNBN,AVNBDE.1-AD.ARMY.MIL,-,2-501-AVNBN,AVNBDE-1-AD
56,5-CORPS-ARTY,5-CORPS-ARTY,-,CORPS-ARTY,5-CORPS.ARMY.MIL,-,5-CORPS-ARTY,5-CORPS
57,41-FABDE,41-FABDE,-,41-FABDE,5-CORPS.ARMY.MIL,-,41-FABDE,5-CORPS-ARTY
58,2-4-FABN-MLRS,2-4-FABN-MLRS,-,2-4-FABN-MLRS,5-CORPS.ARMY.MIL,-,2-4-FABN-MLRS,41-FABDE
59,1-27-FABN,1-27-FABN,-,1-27-FABN,5-CORPS.ARMY.MIL,-,1-27-FABN,41-FABDE
60,3-13-FABN-155,3-13-FABN-155,-,3-13-FABN-155,5-CORPS.ARMY.MIL,-,3-13-FABN-155,41-FABDE
61,5-CORPS-REAR,5-CORPS-REAR,-,CORPS-REAR,5-CORPS.ARMY.MIL,-,5-CORPS-REAR,5-CORPS
62,11-AVN-RGT,11-AVN-RGT,-,11-AVN-RGT,5-CORPS.ARMY.MIL,-,11-AVN-RGT,5-CORPS-REAR
63,12-AVNBDE,12-AVNBDE,-,12-AVNBDE,5-CORPS.ARMY.MIL,-,12-AVNBDE,5-CORPS-REAR
64,130-ENGBDE,130-ENGBDE,-,130-ENGBDE,5-CORPS.ARMY.MIL,-,130-ENGBDE,5-CORPS-REAR
65,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,-,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,-,52-ENGBN-CBTHVY,130-ENGBDE
66,244-ENGBN-CBTHVY,244-ENGBN-CBTHVY,-,244-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,-,244-ENGBN-CBTHVY,130-ENGBDE
67,69-ADABDE,69-ADABDE,-,69-ADABDE,5-CORPS.ARMY.MIL,-,69-ADABDE,5-CORPS-REAR
68,286-ADA-SCCO,286-ADA-SCCO,-,286-ADA-SCCO,5-CORPS.ARMY.MIL,-,286-ADA-SCCO,69-ADABDE
69,18-MPBDE,18-MPBDE,-,18-MPBDE,5-CORPS.ARMY.MIL,-,18-MPBDE,5-CORPS-REAR
70,205-MIBDE,205-MIBDE,-,205-MIBDE,5-CORPS.ARMY.MIL,-,205-MIBDE,5-CORPS-REAR
71,30-MEDBDE,30-MEDBDE,-,30-MEDBDE,5-CORPS.ARMY.MIL,-,30-MEDBDE,5-CORPS-REAR
72,22-SIGBDE,22-SIGBDE,-,22-SIGBDE,5-CORPS.ARMY.MIL,-,22-SIGBDE,5-CORPS-REAR
73,3-SUPCOM-HQ,3-SUPCOM-HQ,-,3-SUPCOM-HQ,5-CORPS.ARMY.MIL,-,3-SUPCOM-HQ,5-CORPS
