order,orig_org_id,base_org_id,suffix,superior_orig_org_id,superior_base_org_id,superior_suffix,rollup_code,orig_org_id,,orig_org_id,,,
1,NCA,OSD,GOV,,,,,NCA,,NCA,,,
2,TRANSCOM-STUB,TRANSCOM-STUB,MIL,NCA,OSD,GOV,,TRANSCOM-STUB,,,TRANSCOM-STUB,,
3,TRANSCOM,TRANSCOM,MIL,NCA,OSD,GOV,,TRANSCOM,,,TRANSCOM,,
4,GlobalAir,AMC,TRANSCOM.MIL,TRANSCOM,TRANSCOM,MIL,,GlobalAir,,,,GlobalAir,
5,PlanePacker,PlanePacker,TRANSCOM.MIL,GlobalAir,AMC,TRANSCOM.MIL,,PlanePacker,,,,,PlanePacker
6,GlobalSea,MSC,TRANSCOM.MIL,TRANSCOM,TRANSCOM,MIL,,GlobalSea,,,,GlobalSea,
7,ShipPacker,ShipPacker,TRANSCOM.MIL,GlobalSea,MSC,TRANSCOM.MIL,,ShipPacker,,,,,ShipPacker
8,CONUSGround,CONUSGround,TRANSCOM.MIL,GlobalSea,MSC,TRANSCOM.MIL,,CONUSGround,,,,,CONUSGround
9,TheaterGround,TheaterGround,TRANSCOM.MIL,GlobalSea,MSC,TRANSCOM.MIL,,TheaterGround,,,,,TheaterGround
10,FORSCOM,FORSCOM,MIL,NCA,OSD,GOV,,FORSCOM,,,FORSCOM,,
11,HNS,HNS,MIL,NCA,OSD,GOV,,HNS,,,HNS,,
12,DLAHQ,DLAHQ,MIL,NCA,OSD,GOV,,DLAHQ,,,DLAHQ,,
13,OSC,OSC,MIL,NCA,OSD,GOV,,OSC,,,OSC,,
14,NATO,NATO,GOV,NCA,OSD,GOV,,NATO,,,NATO,,
15,JSRCMDSE,JSRCMDSE,NATO.GOV,NATO,NATO,GOV,,JSRCMDSE,,,,JSRCMDSE,
16,USEUCOM,USEUCOM,MIL,NCA,OSD,GOV,,USEUCOM,,,USEUCOM,,,,,
17,USAEUR,USAEUR,MIL,USEUCOM,USEUCOM,MIL,,USAEUR,,,,USAEUR,,,,
18,5-CORPS,5-CORPS,ARMY.MIL,USAEUR,USAEUR,MIL,,5-CORPS,,,,,5-CORPS,,,
19,1-AD,1-AD,ARMY.MIL,5-CORPS,5-CORPS,ARMY.MIL,,1-AD,,,,,,1-AD,,
20,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,1-AD,1-AD,ARMY.MIL,,1-AD-DIV,,,,,,,1-AD-DIV,
21,501-MPCO,501-MPCO,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,,501-MPCO,,,,,,,,501-MPCO
22,141-SIGBN,141-SIGBN,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,,141-SIGBN,,,,,,,,141-SIGBN
23,1-4-ADABN,1-4-ADABN,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,,1-4-ADABN,,,,,,,,1-4-ADABN
24,501-MIBN-CEWI,501-MIBN-CEWI,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,,501-MIBN-CEWI,,,,,,,,501-MIBN-CEWI
25,69-CHEMCO,69-CHEMCO,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,,69-CHEMCO,,,,,,,,69-CHEMCO
26,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,1-AD,1-AD,ARMY.MIL,,1-BDE-1-AD,,,,,,,1-BDE-1-AD,
27,2-37-ARBN,2-37-ARBN,1-BDE.1-AD.ARMY.MIL,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,,2-37-ARBN,,,,,,,,2-37-ARBN
