order,orig_org_id,base_org_id,suffix,,combat_support,echelon,echelon_group,"is_
deployable","has_
physical_
assets","has_
equipment_
assets","has_
personnel_
assets",uic,"home_
location"
47,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WDJ0AA,AJPG
48,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WH96AA,TZUX
49,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WH98AA,VTYA
50,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WJA0AA,HKBN
51,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WJEQAA,KBFP
52,AVNBDE-1-AD,AVNBDE,1-AD.ARMY.MIL,,CBT,BRIGADE,Brigade,Y,Y,Y,Y,WDJUAA,GSYA
53,1-1-CAVSQDN,1-1-CAVSQDN,AVNBDE.1-AD.ARMY.MIL,,CBT,SQUADRON,Brigade,Y,Y,Y,Y,WAETAA,ANYF
54,1-501-AVNBN,1-501-AVNBN,AVNBDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WAFDAA,GSYA
55,2-501-AVNBN,2-501-AVNBN,AVNBDE.1-AD.ARMY.MIL,,CSS,BATTALION,Brigade,Y,Y,Y,Y,WDUVAA,GSYA
56,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL,,CS,DIVISION,Corps,Y,Y,Y,Y,WA0TAA,YRBU
57,41-FABDE,41-FABDE,5-CORPS.ARMY.MIL,,CS,BRIGADE,Corps,Y,Y,Y,Y,WA00AA,ASYB
58,2-4-FABN-MLRS,2-4-FABN-MLRS,5-CORPS.ARMY.MIL,,CS,BATTALION,Corps,Y,Y,Y,Y,WH1SAA,HKNN
59,1-27-FABN,1-27-FABN,5-CORPS.ARMY.MIL,,CS,BATTALION,Corps,Y,Y,Y,Y,WAKRAA,ASYB
60,3-13-FABN-155,3-13-FABN-155,5-CORPS.ARMY.MIL,,CS,BATTALION,Corps,Y,Y,Y,Y,WG1DAA,HKNN
61,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL,,CMD,DIVISION,Corps,N,N,N,N,,VDYD
