society_id,orig_org_id,base_org_id,suffix
FULL-1AD-TRANS-STUB,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,584-MAINTCO,584-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,588-MAINTCO,588-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,594-MDM-TRKCO,594-MDM-TRKCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,596-MAINTCO,596-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,5-CORPS,5-CORPS,ARMY.MIL
FULL-1AD-TRANS-STUB,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,5-MAINTCO,5-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,66-MDM-TRKCO,66-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,68-MDM-TRKCO,68-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,69-ADABDE,69-ADABDE,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,69-CHEMCO,69-CHEMCO,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,702-EODDET,702-EODDET,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,70-ENGBN,70-ENGBN,3-BDE.1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,71-ORDCO,71-ORDCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,720-EODDET,720-EODDET,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,77-MAINTCO,77-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,7-CSG,7-CSG,5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,7-TCGP-TPTDD,7-TCGP-TPTDD,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD-TRANS-STUB,AVNBDE-1-AD,AVNBDE,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,AWR-2,AWR-2,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,DIVARTY-1-AD,DIVARTY,1-AD.ARMY.MIL
FULL-1AD-TRANS-STUB,DLAHQ,DLAHQ,MIL
