orig_org_id,base_org_id,org_id_suffix,role,echelon_of_support,role_mechanism,notes
52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,ConstructionProvider,CORPS,,Remove
565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,SparePartsProvider,CORPS,,
574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,FuelSupplyProvider,DIVISION,,Add
574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,PackagedPOLSupplyProvider,DIVISION,,Add
574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,SubsistenceSupplyProvider,DIVISION,,Add
592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,AmmunitionProvider,CORPS,,
597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,SparePartsProvider,DIVISION,,
5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL,StrategicTransportationProvider,CORPS,PassThrough,
5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL,StrategicTransportationProvider,CORPS,PassThrough,
632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL,SparePartsProvider,DIVISION,,Add
6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,FuelTransportProvider,THEATER,,Not Used Now
900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,FuelSupplyProvider,CORPS,,
900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,PackagedPOLSupplyProvider,CORPS,,
AmmoConusGround,AmmoConusGround,TRANSCOM.MIL,ToPOEGroundTransportationProvider,JOINT,Ammo,
AmmoSea,AmmoSea,TRANSCOM.MIL,SeaTransportationProvider,JOINT,Ammo,
AmmoShipPacker,AmmoShipPacker,TRANSCOM.MIL,ShipPackingTransportationProvider,JOINT,Ammo,
AmmoTheaterGround,AmmoTheaterGround,TRANSCOM.MIL,FromPODGroundTransportationProvider,JOINT,Ammo,
AmmoTRANSCOM,AmmoTRANSCOM,TRANSCOM.MIL,AmmoStrategicTransportationProvider,JOINT,ModeSelector,
AWR-2,AWR-2,21-TSC.ARMY.MIL,AmmunitionProvider,JOINT,TerminalInventoryManager,C .lt. 30
AWR-2,AWR-2,21-TSC.ARMY.MIL,SparePartsProvider,JOINT,TerminalInventoryManager,C .lt. 30
AWR-2,AWR-2,21-TSC.ARMY.MIL,SubsistenceSupplyProvider,JOINT,TerminalInventoryManager,C .lt. 30
ConusAir,ConusAir,TRANSCOM.MIL,AirTransportationProvider,JOINT,Conus,
CONUSGround,CONUSGround,TRANSCOM.MIL,ToPOEGroundTransportationProvider,JOINT,ConusEuro,
ConusGroundA,ConusGroundA,TRANSCOM.MIL,ToPOEGroundTransportationProvider,JOINT,Conus,
ConusSea,ConusSea,TRANSCOM.MIL,SeaTransportationProvider,JOINT,Conus,
ConusShipPacker,ConusShipPacker,TRANSCOM.MIL,ShipPackingTransportationProvider,JOINT,Conus,
ConusTRANSCOM,ConusTRANSCOM,TRANSCOM.MIL,ConusStrategicTransportationProvider,JOINT,ModeSelector,
DLAHQ,DLAHQ,MIL,ConstructionSupplyProvider,JOINT,TerminalInventoryManager,Remove
DLAHQ,DLAHQ,MIL,SparePartsProvider,JOINT,TerminalInventoryManager,C .gt. 30
DLAHQ,DLAHQ,MIL,SubsistenceSupplyProvider,JOINT,TerminalInventoryManager,C .gt. 30
EuroAir,EuroAir,TRANSCOM.MIL,AirTransportationProvider,JOINT,Euro,
EuroGround,EuroGround,TRANSCOM.MIL,ToPOEGroundTransportationProvider,JOINT,Euro,
EuroSea,EuroSea,TRANSCOM.MIL,SeaTransportationProvider,JOINT,Euro,
EuroShipPacker,EuroShipPacker,TRANSCOM.MIL,ShipPackingTransportationProvider,JOINT,Euro,
EuroTRANSCOM,EuroTRANSCOM,TRANSCOM.MIL,EuroStrategicTransportationProvider,JOINT,ModeSelector,
GlobalAir,AMC,TRANSCOM.MIL,AirTransportationProvider,JOINT,Global,
GlobalSea,MSC,TRANSCOM.MIL,SeaTransportationProvider,JOINT,Global,
HNS,HNS,MIL,FuelSupplyProvider,JOINT,TerminalInventoryManager,
HNS,HNS,MIL,PackagedPOLSupplyProvider,JOINT,TerminalInventoryManager,
NCA,OSD,GOV,LogisticsCommanderInChief,JOINT,,
NCA,OSD,GOV,OperationalCommanderInChief,JOINT,,
OSC,OSC,MIL,AmmunitionProvider,JOINT,TerminalAmmunitionPacker,C .gt. 30
PlanePacker,PlanePacker,TRANSCOM.MIL,OrganicAirTransportationProvider,JOINT,Global,
PlanePackerA,PlanePackerA,TRANSCOM.MIL,OrganicAirTransportationProvider,JOINT,GlobalHalf,
PlanePackerB,PlanePackerB,TRANSCOM.MIL,OrganicAirTransportationProvider,JOINT,GlobalHalf,
ShipPacker,ShipPacker,TRANSCOM.MIL,ShipPackingTransportationProvider,JOINT,Global,
TheaterGround,TheaterGround,TRANSCOM.MIL,FromPODGroundTransportationProvider,JOINT,Theater,
TheaterGroundA,TheaterGroundA,TRANSCOM.MIL,FromPODGroundTransportationProvider,JOINT,TheaterHalf,
TheaterGroundB,TheaterGroundB,TRANSCOM.MIL,FromPODGroundTransportationProvider,JOINT,TheaterHalf,
TRANSCOM-1,TRANSCOM-1,TRANSCOM.MIL,StrategicTransportationProvider,JOINT,StubTransportationProvider,
TRANSCOM-20,TRANSCOM-20,TRANSCOM.MIL,StrategicTransportationProvider,JOINT,TaskSorter,
TRANSCOM-7,TRANSCOM-7,TRANSCOM.MIL,StrategicTransportationProvider,JOINT,ModeSelector,
USAEUR,USAEUR,MIL,ArmyCommander,US-ARMY,,
