order,orig_org_id,base_org_id,suffix,org_name,combat_support,echelon,echelon_group,is_ua,is_deployable,has_physical_assets,has_equipment_assets,has_personnel_assets,uic,home_location
47,2-37-ARBN,2-37-ARBN,1-BDE.1-AD.ARMY.MIL,2-37-ARBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAD9AA,TZUX
48,1-36-INFBN,1-36-INFBN,1-BDE.1-AD.ARMY.MIL,1-36-INFBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAE3AA,TZUX
49,1-37-ARBN,1-37-ARBN,1-BDE.1-AD.ARMY.MIL,1-37-ARBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WH54AA,HBBH
50,16-ENGBN,16-ENGBN,1-BDE.1-AD.ARMY.MIL,16-ENGBN,CS,BATTALION,Brigade,N,Y,Y,Y,Y,WAEUAA,HWZJ
51,2-3-FABN,2-3-FABN,1-BDE.1-AD.ARMY.MIL,2-3-FABN,CS,BATTALION,Brigade,N,Y,Y,Y,Y,WAEQAA,HWZJ
52,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL,2-BDE-1-AD,CBT,BRIGADE,Brigade,N,Y,Y,Y,Y,WAPGAA,VTYA
53,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL,1-6-INFBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAPSAA,VTYA
54,2-6-INFBN,2-6-INFBN,2-BDE.1-AD.ARMY.MIL,2-6-INFBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAPWAA,VTYA
55,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL,1-35-ARBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAPYAA,VTYA
56,40-ENGBN,40-ENGBN,2-BDE.1-AD.ARMY.MIL,40-ENGBN,CS,BATTALION,Brigade,N,Y,Y,Y,Y,WDKXAA,WJUE
57,4-27-FABN,4-27-FABN,2-BDE.1-AD.ARMY.MIL,4-27-FABN,CS,BATTALION,Brigade,N,Y,Y,Y,Y,WH28AA,VTYA
58,3-BDE-1-AD,3-BDE,1-AD.ARMY.MIL,3-BDE-1-AD,CBT,BRIGADE,Brigade,N,Y,Y,Y,Y,WAHEAA,HKBN
59,1-13-ARBN,1-13-ARBN,3-BDE.1-AD.ARMY.MIL,1-13-ARBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAFZAA,HKBN
60,1-41-INFBN,1-41-INFBN,3-BDE.1-AD.ARMY.MIL,1-41-INFBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAHSAA,HKBN
61,2-70-ARBN,2-70-ARBN,3-BDE.1-AD.ARMY.MIL,2-70-ARBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAZBAA,HKBN
62,70-ENGBN,70-ENGBN,3-BDE.1-AD.ARMY.MIL,70-ENGBN,CS,BATTALION,Brigade,N,Y,Y,Y,Y,WAZ8AA,HKBN
63,4-1-FABN,4-1-FABN,3-BDE.1-AD.ARMY.MIL,4-1-FABN,CS,BATTALION,Brigade,N,Y,Y,Y,Y,WH9UAA,HKBN
64,DIVARTY-1-AD,DIVARTY,1-AD.ARMY.MIL,DIVARTY-1-AD,CS,BRIGADE,Division,N,Y,Y,Y,Y,WAPKAA,VTYA
65,25-FABTRY-TGTACQ,25-FABTRY-TGTACQ,DIVARTY.1-AD.ARMY.MIL,25-FABTRY-TGTACQ,CS,BATTERY,Division,N,Y,Y,Y,Y,WH5QAA,AZEH
66,1-94-FABN,1-94-FABN,DIVARTY.1-AD.ARMY.MIL,1-94-FABN,CS,BATTALION,Division,N,Y,Y,Y,Y,WAF7AA,VTYA
67,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL,DISCOM-1-AD,CSS,BRIGADE,Division,N,Y,Y,Y,Y,WAPLAA,ULRK
68,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,123-MSB,CSS,BATTALION,Division,N,Y,Y,Y,Y,WDJ0AA,AJPG
69,123-MSB-HQ,123-MSB-HQ,DISCOM.1-AD.ARMY.MIL,123-MSB-HQ,CSS,BATTALION,Division,N,Y,Y,Y,Y,WDJ0A0,AJPG
70,123-MSB-POL,123-MSB-POL,DISCOM.1-AD.ARMY.MIL,123-MSB-POL,CSS,BATTALION,Division,N,Y,N,N,N,WMSBAB,AJPG
71,123-MSB-ORD,123-MSB-ORD,DISCOM.1-AD.ARMY.MIL,123-MSB-ORD,CSS,BATTALION,Division,N,Y,N,N,N,WMSBAC,AJPG
72,123-MSB-PARTS,123-MSB-PARTS,DISCOM.1-AD.ARMY.MIL,123-MSB-PARTS,CSS,BATTALION,Division,N,Y,N,N,N,WMSBAD,AJPG
73,123-MSB-FOOD,123-MSB-FOOD,DISCOM.1-AD.ARMY.MIL,123-MSB-FOOD,CSS,BATTALION,Division,N,Y,N,N,N,WMSBAE,AJPG
74,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL,501-FSB,CSS,BATTALION,Division,N,Y,Y,Y,Y,WH96AA,TZUX
75,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL,47-FSB,CSS,BATTALION,Division,N,Y,Y,Y,Y,WH98AA,VTYA
76,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,125-FSB,CSS,BATTALION,Division,N,Y,Y,Y,Y,WJA0AA,HKBN
77,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,127-DASB,CSS,BATTALION,Division,N,Y,Y,Y,Y,WJEQAA,KBFP
78,AVNBDE-1-AD,AVNBDE,1-AD.ARMY.MIL,AVNBDE-1-AD,CBT,BRIGADE,Brigade,N,Y,Y,Y,Y,WDJUAA,GSYA
79,1-1-CAVSQDN,1-1-CAVSQDN,AVNBDE.1-AD.ARMY.MIL,1-1-CAVSQDN,CBT,SQUADRON,Brigade,N,Y,Y,Y,Y,WAETAA,ANYF
80,1-501-AVNBN,1-501-AVNBN,AVNBDE.1-AD.ARMY.MIL,1-501-AVNBN,CBT,BATTALION,Brigade,N,Y,Y,Y,Y,WAFDAA,GSYA
81,2-501-AVNBN,2-501-AVNBN,AVNBDE.1-AD.ARMY.MIL,2-501-AVNBN,CSS,BATTALION,Brigade,N,Y,Y,Y,Y,WDUVAA,GSYA
82,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL,5-CORPS-ARTY,CS,DIVISION,Corps,N,Y,Y,Y,Y,WA0TAA,YRBU
83,41-FABDE,41-FABDE,5-CORPS.ARMY.MIL,41-FABDE,CS,BRIGADE,Corps,N,Y,Y,Y,Y,WA00AA,ASYB
84,2-4-FABN-MLRS,2-4-FABN-MLRS,5-CORPS.ARMY.MIL,2-4-FABN-MLRS,CS,BATTALION,Corps,N,Y,Y,Y,Y,WH1SAA,HKNN
