org_order,orig_org_id,base_org_id,suffix,superior_orig_org_id,superior_base_org_id,superior_suffix,is_rollup,society_group,alias_org_id,,orig_org_id,,,
1,NCA,OSD,GOV,,,,N,1-AD,NCA,,NCA,,,
2,TRANSCOM,TRANSCOM-STUB,MIL,NCA,OSD,GOV,N,1-AD,TRANSCOM,,,TRANSCOM-STUB,,
3,TRANSCOM,TRANSCOM,MIL,NCA,OSD,GOV,N,1-AD,TRANSCOM,,,TRANSCOM,,
4,GlobalAir,AMC,TRANSCOM.MIL,TRANSCOM,TRANSCOM,MIL,N,1-AD,GlobalAir,,,,GlobalAir,
5,PlanePacker,PlanePacker,TRANSCOM.MIL,GlobalAir,AMC,TRANSCOM.MIL,N,1-AD,PlanePacker,,,,,PlanePacker
6,GlobalSea,MSC,TRANSCOM.MIL,TRANSCOM,TRANSCOM,MIL,N,1-AD,GlobalSea,,,,GlobalSea,
7,ShipPacker,ShipPacker,TRANSCOM.MIL,GlobalSea,MSC,TRANSCOM.MIL,N,1-AD,ShipPacker,,,,,ShipPacker
8,CONUSGround,CONUSGround,TRANSCOM.MIL,GlobalSea,MSC,TRANSCOM.MIL,N,1-AD,CONUSGround,,,,,CONUSGround
9,TheaterGround,TheaterGround,TRANSCOM.MIL,GlobalSea,MSC,TRANSCOM.MIL,N,1-AD,TheaterGround,,,,,TheaterGround
10,FORSCOM,FORSCOM,MIL,NCA,OSD,GOV,N,1-AD,FORSCOM,,,FORSCOM,,
11,HNS,HNS,MIL,NCA,OSD,GOV,N,1-AD,HNS,,,HNS,,
12,DLAHQ,DLAHQ,MIL,NCA,OSD,GOV,N,1-AD,DLAHQ,,,DLAHQ,,
13,OSC,OSC,MIL,NCA,OSD,GOV,N,1-AD,OSC,,,OSC,,
14,NATO,NATO,GOV,NCA,OSD,GOV,N,1-AD,NATO,,,NATO,,
15,JSRCMDSE,JSRCMDSE,NATO.GOV,NATO,NATO,GOV,N,1-AD,JSRCMDSE,,,,JSRCMDSE,
16,USEUCOM,USEUCOM,MIL,NCA,OSD,GOV,N,1-AD,USEUCOM,,,USEUCOM,,,,,
17,USAEUR,USAEUR,MIL,USEUCOM,USEUCOM,MIL,N,1-AD,USAEUR,,,,USAEUR,,,,
18,5-CORPS,5-CORPS,ARMY.MIL,USAEUR,USAEUR,MIL,N,1-AD,5-CORPS,,,,,5-CORPS,,,
19,1-AD,1-AD,ARMY.MIL,5-CORPS,5-CORPS,ARMY.MIL,N,1-AD,1-AD,,,,,,1-AD,,
20,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,1-AD,1-AD,ARMY.MIL,N,1-AD,1-AD-DIV,,,,,,,1-AD-DIV,
21,501-MPCO,501-MPCO,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,N,1-AD,501-MPCO,,,,,,,,501-MPCO
22,141-SIGBN,141-SIGBN,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,N,1-AD,141-SIGBN,,,,,,,,141-SIGBN
23,1-4-ADABN,1-4-ADABN,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,N,1-AD,1-4-ADABN,,,,,,,,1-4-ADABN
24,501-MIBN-CEWI,501-MIBN-CEWI,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,N,1-AD,501-MIBN-CEWI,,,,,,,,501-MIBN-CEWI
25,69-CHEMCO,69-CHEMCO,1-AD.ARMY.MIL,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,N,1-AD,69-CHEMCO,,,,,,,,69-CHEMCO
26,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,1-AD,1-AD,ARMY.MIL,N,1-AD,1-BDE-1-AD,,,,,,,1-BDE-1-AD,
27,2-37-ARBN,2-37-ARBN,1-BDE.1-AD.ARMY.MIL,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,N,1-AD,2-37-ARBN,,,,,,,,2-37-ARBN
28,1-36-INFBN,1-36-INFBN,1-BDE.1-AD.ARMY.MIL,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,N,1-AD,1-36-INFBN,,,,,,,,1-36-INFBN
