society_id,orig_org_id,base_org_id,suffix
MICRO-1AD-TRANS-STUB,5-CORPS,5-CORPS,ARMY.MIL
MICRO-1AD-TRANS-STUB,NCA,OSD,GOV
MICRO-1AD-TRANS-STUB,TRANSCOM-STUB,TRANSCOM-STUB,MIL
MICRO-1AD-TRANS-STUB,USAEUR,USAEUR,MIL
MICRO-1AD-TRANS-STUB,USEUCOM,USEUCOM,MIL
