society_id,orig_org_id,base_org_id,suffix
FULL-1AD,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD,109-MDM-TRKCO,109-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
FULL-1AD,1-13-ARBN,1-13-ARBN,3-BDE.1-AD.ARMY.MIL
FULL-1AD,11-AVN-RGT,11-AVN-RGT,5-CORPS.ARMY.MIL
FULL-1AD,1-1-CAVSQDN,1-1-CAVSQDN,AVNBDE.1-AD.ARMY.MIL
FULL-1AD,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL
FULL-1AD,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL
FULL-1AD,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL
FULL-1AD,1-27-FABN,1-27-FABN,5-CORPS.ARMY.MIL
FULL-1AD,12-AVNBDE,12-AVNBDE,5-CORPS.ARMY.MIL
FULL-1AD,130-ENGBDE,130-ENGBDE,5-CORPS.ARMY.MIL
FULL-1AD,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
FULL-1AD,1-36-INFBN,1-36-INFBN,1-BDE.1-AD.ARMY.MIL
FULL-1AD,1-37-ARBN,1-37-ARBN,1-BDE.1-AD.ARMY.MIL
FULL-1AD,1-41-INFBN,1-41-INFBN,3-BDE.1-AD.ARMY.MIL
FULL-1AD,141-SIGBN,141-SIGBN,1-AD.ARMY.MIL
FULL-1AD,1-4-ADABN,1-4-ADABN,1-AD.ARMY.MIL
FULL-1AD,1-501-AVNBN,1-501-AVNBN,AVNBDE.1-AD.ARMY.MIL
FULL-1AD,15-PLS-TRKCO,15-PLS-TRKCO,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD,16-CSG,16-CSG,5-CORPS.ARMY.MIL
FULL-1AD,16-ENGBN,16-ENGBN,1-BDE.1-AD.ARMY.MIL
FULL-1AD,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
FULL-1AD,181-TCBN,181-TCBN,7-CSG.5-CORPS.ARMY.MIL
FULL-1AD,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL
FULL-1AD,18-MPBDE,18-MPBDE,5-CORPS.ARMY.MIL
FULL-1AD,18-PERISH-SUBPLT,18-PERISH-SUBPLT,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
FULL-1AD,1-94-FABN,1-94-FABN,DIVARTY.1-AD.ARMY.MIL
