society_id,orig_org_id,base_org_id,suffix,equip_type_id,quantity
17a12v-ln.member,UA-HHC,UA-HHC,1-UA.ARMY.MIL,,
17a12v-ln.member,UA-BIC-CO,BIC-CO,1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-HHC,BN-HHC,1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-INF-CO-A,INFCO-A,1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-INF-CO-B,INFCO-B,1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-MCS-CO-A-HQ,CO-HQ,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-MCS,3
17a12v-ln.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
17a12v-ln.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-MCS,3
17a12v-ln.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
17a12v-ln.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-MCS,3
17a12v-ln.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
17a12v-ln.member,1-CA-BN-MCS-CO-B,MCSCO-B,1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-RECON-DET,RECON-DET,1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,1-CA-BN-MORTAR-BTY,MORTAR-BTY,1-CABN.1-UA.ARMY.MIL,,
17a12v-ln.member,2-CA-BN,2-CA-BN,1-UA.ARMY.MIL,,
17a12v-ln.member,3-CA-BN,3-CA-BN,1-UA.ARMY.MIL,,
17a12v-ln.member,AVN-DET,AVN-DET,1-UA.ARMY.MIL,,
17a12v-ln.member,NLOS-BN,NLOS-BN,1-UA.ARMY.MIL,,
17a12v-ln.member,FSB,FSB,1-UA.ARMY.MIL,,
