orig_org_id,base_org_id,org_id_suffix,supported_orig_org_id,supported_base_org_id,supported_org_id_suffix,echelon_of_support,space
FSB-FUEL-WATER-SECTION,FUEL-WATER-SECTION,FSB.1-UA.ARMY.MIL,UA-HHC,UA-HHC,1-UA.ARMY.MIL,BRIGADE, 
FSB-FUEL-WATER-SECTION,FUEL-WATER-SECTION,FSB.1-UA.ARMY.MIL,UA-MCG1,MCG1,1-UA.ARMY.MIL,BRIGADE, 
FSB-DISTRO-PLT,DISTRO-PLT,FSB.1-UA.ARMY.MIL,UA-HHC,UA-HHC,1-UA.ARMY.MIL,BRIGADE, 
FSB-DISTRO-PLT,DISTRO-PLT,FSB.1-UA.ARMY.MIL,UA-MCG1,MCG1,1-UA.ARMY.MIL,BRIGADE, 
FSB-SUSTAIN-CO,SUSTAIN-CO,FSB.1-UA.ARMY.MIL,UA-HHC,UA-HHC,1-UA.ARMY.MIL,BRIGADE, 
FSB-SUSTAIN-CO,SUSTAIN-CO,FSB.1-UA.ARMY.MIL,UA-MCG1,MCG1,1-UA.ARMY.MIL,BRIGADE, 
FSB,FSB,1-UA.ARMY.MIL,UA-HHC,UA-HHC,1-UA.ARMY.MIL,BRIGADE, 
FSB,FSB,1-UA.ARMY.MIL,UA-MCG1,MCG1,1-UA.ARMY.MIL,BRIGADE, 
UA-MCG1,MCG1,1-UA.ARMY.MIL,UA-MCG2,MCG2,1-UA.ARMY.MIL,DIVISION,
UA-HHC,UA-HHC,1-UA.ARMY.MIL,UA-HHC,UA-HHC,1-UA.ARMY.MIL,DIVISION,
UA-BIC-CO-HQ,CO-HQ,BIC.1-UA.ARMY.MIL,UA-BIC-CO-HQ,CO-HQ,BIC.1-UA.ARMY.MIL,DIVISION,
UA-BIC-CO,BIC-CO,1-UA.ARMY.MIL,UA-BIC-CO,BIC-CO,1-UA.ARMY.MIL,DIVISION,
1-CA-BN-MCG,MCG,1-CABN.1-UA.ARMY.MIL,1-CA-BN-MCG,MCG,1-CABN.1-UA.ARMY.MIL,DIVISION,
1-CA-BN-HHC,BN-HHC,1-CABN.1-UA.ARMY.MIL,1-CA-BN-HHC,BN-HHC,1-CABN.1-UA.ARMY.MIL,DIVISION,
1-CA-BN,1-CABN,1-UA.ARMY.MIL,1-CA-BN,1-CABN,1-UA.ARMY.MIL,DIVISION,
2-CA-BN-MCG,MCG,2-CABN.1-UA.ARMY.MIL,2-CA-BN-MCG,MCG,2-CABN.1-UA.ARMY.MIL,DIVISION
2-CA-BN-HHC,BN-HHC,2-CABN.1-UA.ARMY.MIL,2-CA-BN-HHC,BN-HHC,2-CABN.1-UA.ARMY.MIL,DIVISION
2-CA-BN,2-CA-BN,1-UA.ARMY.MIL,2-CA-BN,2-CA-BN,1-UA.ARMY.MIL,DIVISION
3-CA-BN-MCG,MCG,3-CABN.1-UA.ARMY.MIL,3-CA-BN-MCG,MCG,3-CABN.1-UA.ARMY.MIL,DIVISION
3-CA-BN-HHC,BN-HHC,3-CABN.1-UA.ARMY.MIL,3-CA-BN-HHC,BN-HHC,3-CABN.1-UA.ARMY.MIL,DIVISION
3-CA-BN,3-CA-BN,1-UA.ARMY.MIL,3-CA-BN,3-CA-BN,1-UA.ARMY.MIL,DIVISION
AVN-DET-HQ,DET-HQ,AVN-DET.1-UA.ARMY.MIL,AVN-DET-HQ,DET-HQ,AVN-DET.1-UA.ARMY.MIL,DIVISION
AVN-DET,AVN-DET,1-UA.ARMY.MIL,AVN-DET,AVN-DET,1-UA.ARMY.MIL,DIVISION
NLOS-BN-BTRY-HQ,BTY-HQ,NLOS-BN.1-UA.ARMY.MIL,NLOS-BN-BTRY-HQ,BTY-HQ,NLOS-BN.1-UA.ARMY.MIL,DIVISION
NLOS-BN-HHB,BN-HHB,NLOS-BN.1-UA.ARMY.MIL,NLOS-BN-HHB,BN-HHB,NLOS-BN.1-UA.ARMY.MIL,DIVISION
NLOS-BN,NLOS-BN,1-UA.ARMY.MIL,NLOS-BN,NLOS-BN,1-UA.ARMY.MIL,DIVISION
FSB-CO-HQ,CO-HQ,FSB.1-UA.ARMY.MIL,FSB-CO-HQ,CO-HQ,FSB.1-UA.ARMY.MIL,DIVISION
FSB-HHC,BN-HHC,FSB.1-UA.ARMY.MIL,FSB-HHC,BN-HHC,FSB.1-UA.ARMY.MIL,DIVISION
FSB,FSB,1-UA.ARMY.MIL,FSB,FSB,1-UA.ARMY.MIL,DIVISION
